Find the small delights in life|unknown|
A large imagination allows you to never be bored|unknown|
Say no more often|unknown|
Have strong opinions that are loosely held|unknown|
Taking care of yourself is a top priority|unknown|
Ask your body how it’s doing|unknown|
Take more risks|unknown|
Be kinder|unknown|
Be a mystery|unknown|
Plan things and set goals|unknown|
Crush it next time|unknown|
Will it matter in 3 hours / days/ weeks / months/ years|unknown|
Don’t Panic|unknown|
Treat yo’ self!|unknown|
Plans can be fluid|unknown|
Love yourself|unknown|
Go on vacation|unknown|
Getaway|unknown|
Under every scar is a battle I’ve lost|unknown|
Get out of your feelings and start feeling yourself|unknown|
Mt. Rushmore is just 4 pictures of me with different expressions|unknown|
A wise man once said nothing at all|unknown|
Agree & amplify|unknown|
Take the high road|unknown|
Be fanatical about good habits|unknown|
There is nothing in this world holding you back from what you want apart from yourself|unknown|
A river runs along the line of least resistance|unknown|
Resolve to perform what you ought; perform without fail what you resolve|Benjamin Franklin|
Masculinity is not something given to you, but something you gain. And you gain it by winning small battles with honor|Norman Mailer|
The courage we desire and prize is not the courage to die decently, but to live manfully|Thomas Carlyle|
Nearly all men can stand adversity, but if you want to test a man’s character give him power|Abraham Lincoln|
In any moment of decision, the best thing you can do is the right thing, the next best thing is the wrong thing, and the worst thing you can do is nothing|Theodore Roosevelt|
The difference between a hero and a coward is that one steps sideways|Gene Hackman|
Try to get at least 7 to 8 hours of sleep every day. Your body will thank you.|unknown|
Wear sunscreen every day. Cancer is real and it can be damaging to your skin.|unknown|
When you get paid, save a little bit away for emergencies for rainy days.|unknown|
Work out a little bit every week. Just a few sit ups, push ups or even a walk consistently every week will show after a month|unknown|
Do new things little by little. Don't try to do it all at once.|unknown|
If there truly is a god, he is a beautiful and mad god.|unknown|
When someone shows you who they are, believe them the first time.|Maya Angelou|
Nothing is harder on the soul than the smell of dreams while they are evaporating|Mahmoud Darwish|
Prepare to swim the English Channel and then drown in champagne.|unknown|
Paper has more patience than people|Anne Frank|
We hold these truths to be self-evident, that all men evolve differently, that they are born with certain mutable characteristics, and that among these are life and the pursuit of pleasure.|American Declaration of Independence in biological terms|
There is no God, but don't tell my servant, lest he murder us at night.|Voltaire|
Consistency is the playground of dull minds|unknown|
Patience is the best remedy for every trouble|Fortune Cookie|
The lion does not concern himself with the opinions of the sheep|unknown|
Strive to improve. Don’t try to be perfect.|unknown|
Live your life thoughtfully, unconditionally and practically|unknown|
Reimagine your tragedies as a force to push your further.|unknown|
When you look at someone through rose-colored glasses, all of the red flags look like flags.|Some owl|
How you gonna win when you ain’t right within?|Lauren Hill|
An expert is someone who has made all the possible mistakes in a narrow field|unknown|
